,Symbol
1320,JYNT
1321,KA
1322,KAI
1323,KALA
1324,KAR
1325,KBH
1326,KBR
1327,KD
1328,KEYS
1329,KFFB
1330,KFRC
1331,KFY
1332,KIDS
1333,KIRK
1334,KITT
1335,KITTW
1336,KKRS
1337,KLAC
1338,KLTR
1339,KMI
1340,KN
1341,KNSA
1342,KNX
1343,KOD
1344,KOP
1345,KOPN
1346,KPLT
1347,KPLTW
1348,KPTI
1349,KRC
1350,KREF
1351,KRG
1352,KRNL
1353,KRNY
1354,KRON
1355,KROS
1356,KRP
1357,KRRO
1358,KRT
1359,KRUS
1360,KRYS
1361,KSM
1362,KSS
1363,KTB
1364,KTCC
1365,KTF
1366,KTTA
1367,KTTAW
1368,KVHI
1369,KYMR
1370,KYN
1371,KZR
1372,LAB
1373,LABP
1374,LADR
1375,LAKE
1376,LAMR
1377,LAND
1378,LASR
1379,LAUR
1380,LAW
1381,LAZR
1382,LBPH
1383,LBRT
1384,LC
1385,LCII
1386,LCUT
1387,LDI
1388,LDP
1389,LDTC
1390,LDTCW
1391,LEGH
1392,LEGN
1393,LENZ
1394,LEO
1395,LESL
1396,LEU
1397,LEVI
1398,LFLY
1399,LFLYW
1400,LFST
1401,LFT
1402,LGI
1403,LGIH
1404,LGL
1405,LGVN
1406,LIDR
1407,LIDRW
1408,LIFE
1409,LIFW
1410,LIFWZ
1411,LII
1412,LINC
1413,LIND
1414,LKQ
1415,LL
1416,LLAP
1417,LMAT
1418,LMFA
1419,LMND
1420,LNG
1421,LNTH
1422,LNZA
1423,LNZAW
1424,LOCO
1425,LOGC
1426,LOGI
1427,LOPE
1428,LOVE
1429,LPG
1430,LPLA
1431,LPSN
1432,LPTH
1433,LQDA
1434,LQDT
1435,LRCX
1436,LRFC
1437,LRMR
1438,LSBK
1439,LSEA
1440,LSEAW
1441,LSTR
1442,LTH
1443,LTRN
1444,LTRX
1445,LUCD
1446,LUMO
1447,LUNA
1448,LUNG
1449,LUNR
1450,LUNRW
1451,LVLU
1452,LVS
1453,LW
1454,LXU
1455,LYEL
1456,LYFT
1457,LYRA
1458,LYTS
1459,LZ
1460,MA
1461,MAA
1462,MAC
1463,MACA
1464,MACAW
1465,MACK
1466,MAIN
1467,MANH
1468,MAPS
1469,MAPSW
1470,MAQC
1471,MAQCW
1472,MASI
1473,MASS
1474,MATW
1475,MAX
1476,MBI
1477,MBIN
1478,MBNKP
1479,MBRX
1480,MBUU
1481,MBWM
1482,MC
1483,MCAA
1484,MCAAW
1485,MCAG
1486,MCAGU
1487,MCB
1488,MCBS
1489,MCFT
1490,MCHP
1491,MCHX
1492,MCN
1493,MCR
1494,MCRB
1495,MCRI
1496,MCW
1497,MDAI
1498,MDAIW
1499,MDB
1500,MDGL
1501,MDRR
1502,MEC
1503,MEDP
1504,MEG
1505,MEGI
1506,MEIP
1507,MESA
1508,MET
1509,META
1510,METC
1511,MFD
1512,MFIC
1513,MFM
1514,MG
1515,MGF
1516,MGNX
1517,MGR
1518,MGRB
1519,MGRC
1520,MGRD
1521,MGTX
1522,MGY
1523,MGYR
1524,MHD
1525,MHF
1526,MHI
1527,MHN
1528,MHO
1529,MIN
1530,MIND
1531,MIR
1532,MIRM
1533,MITA
1534,MITAW
1535,MITQ
1536,MITT
1537,MIY
1538,MKFG
1539,MKL
1540,MKSI
1541,MKTX
1542,ML
1543,MLGO
1544,MLM
1545,MLNK
1546,MLP
1547,MLSS
1548,MLTX
1549,MMD
1550,MMI
1551,MMLP
1552,MMS
1553,MMT
1554,MMU
1555,MNKD
1556,MNPR
1557,MNRO
1558,MNTK
1559,MNTS
1560,MNTSW
1561,MOBX
1562,MOBXW
1563,MODN
1564,MODV
1565,MOH
1566,MOND
1567,MORF
1568,MORN
1569,MOVE
1570,MP
1571,MPA
1572,MPLN
1573,MPLX
1574,MPU
1575,MPV
1576,MPW
1577,MPWR
1578,MPX
1579,MQ
1580,MQT
1581,MQY
1582,MRAI
1583,MRAM
1584,MRBK
1585,MRC
1586,MRCC
1587,MRCY
1588,MRNA
1589,MRNS
1590,MRSN
1591,MRTN
1592,MRVI
1593,MRVL
1594,MSA
1595,MSAI
1596,MSAIW
1597,MSBI
1598,MSD
1599,MSFT
1600,MSGM
1601,MSGS
1602,MSM
1603,MSN
1604,MSTR
1605,MTDR
1606,MTEM
1607,MTG
1608,MTN
1609,MTNB
1610,MTRX
1611,MTSI
1612,MTTR
1613,MTUS
1614,MTX
1615,MUA
1616,MUC
1617,MUI
1618,MUJ
1619,MUSA
1620,MVF
1621,MVIS
1622,MVO
1623,MVST
1624,MVSTW
1625,MVT
1626,MWA
1627,MXC
1628,MXCT
1629,MXL
1630,MYD
1631,MYE
1632,MYFW
1633,MYGN
1634,MYMD
1635,MYN
1636,MYO
1637,MYPS
1638,MYPSW
1639,MYRG
1640,NABL
1641,NAC
1642,NAD
1643,NAN
1644,NAPA
1645,NARI
1646,NATH
1647,NAUT
1648,NAZ
1649,NBB
1650,NBH
1651,NBHC
1652,NBIX
1653,NBST
1654,NBSTW
1655,NBY
1656,NCMI
1657,NCNO
1658,NCSM
1659,NCV
